Thread 3: 23:34:45.186, Counter: 184
Thread 2: 23:34:45.277, Counter: 184
Thread 1: 23:34:45.374, Counter: 185
Thread 1: 23:34:45.635, Counter: 186
Thread 2: 23:34:45.791, Counter: 186
Thread 1: 23:34:45.900, Counter: 187
Thread 1: 23:34:46.165, Counter: 188
Thread 3: 23:34:46.196, Counter: 188
Thread 2: 23:34:46.306, Counter: 188
Thread 1: 23:34:46.428, Counter: 189
Thread 1: 23:34:46.693, Counter: 190
Thread 2: 23:34:46.817, Counter: 190
Thread 1: 23:34:46.955, Counter: 191
Thread 3: 23:34:47.204, Counter: 191
Thread 1: 23:34:47.220, Counter: 192
Thread 2: 23:34:47.329, Counter: 192
Thread 1: 23:34:47.483, Counter: 193
Thread 1: 23:34:47.745, Counter: 194
Thread 2: 23:34:47.840, Counter: 194
Thread 1: 23:34:48.011, Counter: 195
Thread 3: 23:34:48.210, Counter: 195
Thread 1: 23:34:48.272, Counter: 196
Thread 2: 23:34:48.350, Counter: 196
Thread 1: 23:34:48.537, Counter: 197
Thread 1: 23:34:48.802, Counter: 198
Thread 2: 23:34:48.864, Counter: 198
Thread 1: 23:34:49.067, Counter: 199
Thread 3: 23:34:49.221, Counter: 199
Thread 1: 23:34:49.331, Counter: 200
Thread 2: 23:34:49.378, Counter: 200
Thread 1: 23:34:49.583, Counter: 201
Thread 1: 23:34:49.835, Counter: 202
Thread 2: 23:34:49.882, Counter: 202
Thread 1: 23:34:50.098, Counter: 203
Thread 3: 23:34:50.237, Counter: 203
Thread 1: 23:34:50.362, Counter: 204
Thread 2: 23:34:50.393, Counter: 204
Thread 1: 23:34:50.627, Counter: 205
Thread 1: 23:34:50.891, Counter: 206
Thread 2: 23:34:50.906, Counter: 206
Thread 1: 23:34:51.153, Counter: 207
Thread 3: 23:34:51.248, Counter: 207
Thread 1: 23:34:51.405, Counter: 208
Thread 2: 23:34:51.421, Counter: 208
Thread 1: 23:34:51.669, Counter: 209
Thread 2: 23:34:51.935, Counter: 209
Thread 1: 23:34:51.936, Counter: 210
Thread 1: 23:34:52.200, Counter: 211
Thread 3: 23:34:52.263, Counter: 211
Thread 2: 23:34:52.449, Counter: 211
Thread 1: 23:34:52.465, Counter: 212
Thread 1: 23:34:52.725, Counter: 213
Thread 2: 23:34:52.956, Counter: 213
